"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,-16,-4.47780826853437,6.17205742095363
0.914,45,-14,-4.33627407428959,6.36803880878535
0.914,45,-12,-4.20805107757886,6.53681125954228
0.914,45,-10,-4.09331211477373,6.67829469059443
0.914,45,-8,-3.992207404016,6.79241249072374
0.914,45,-6,-3.90486516753471,6.87909382026626
0.914,45,-4,-3.83139203021813,6.93827562652672
0.914,45,-2,-3.77187320897971,6.96990434561848
0.914,45,0,-3.72637251526294,6.97393725801042
0.914,45,2,-3.69493220075569,6.95034346065153
0.914,45,4,-3.67757268373135,6.89910441371857
0.914,45,6,-3.6742921998143,6.82021401512212
0.914,45,8,-3.68506642561641,6.71367815136246
0.914,45,10,-3.70984812582532,6.5795136696106
0.914,45,12,-3.74856687332438,6.41774671334481
0.914,45,14,-3.80112888749846,6.22841036260561
0.914,45,16,-3.86741702816658,6.01154151970633
0.914,45,18,-3.94729097218527,5.7671769814076
0.914,45,20,-4.0405875876858,5.49534863804575
0.914,45,22,-4.14712150841285,5.19607773737629
0.914,45,24,-4.26668589906923,4.86936814403694
0.914,45,26,-4.39905339316639,4.5151985122799
0.914,45,28,-4.54397717855894,4.13351326739717
0.914,45,30,-4.70119220309981,3.72421225719081
0.914,45,32,-4.87041647371538,3.28713888568996
0.914,45,34,-5.05135242623972,2.82206647333719
0.914,45,36,-5.24368834979899,2.32868249647874
0.914,45,38,-5.44709985743484,1.80657023827926
0.914,45,40,-5.66125140300763,1.25518722510509
0.914,45,42,-5.88579785235694,0.673839615672462
0.914,45,44,-6.12038612358303,0.0616514385918792
0.914,45,46,-6.36465691680668,-0.58247278621573
0.914,45,48,-6.61824655780804,-1.25989398971884
0.914,45,50,-6.88078898271106,-1.97229566277946
0.914,45,52,-7.15191789267577,-2.72175563595667
0.914,45,54,-7.43126910872609,-3.51083728402652
0.914,45,56,-7.71848315764282,-4.34270665496208
0.914,45,58,-8.01320812041781,-5.22128446401112
0.914,45,60,-8.31510277504272,-6.15144527558481
0.914,45,62,-8.6238400651621,-7.13928074805785
0.914,45,64,-8.93911092498641,-8.19244949463349
0.914,45,66,-9.26062848838846,-9.32064173769728
0.914,45,68,-9.58813270585713,-10.5361874433305
0.914,45,70,-9.92139538660802,-11.8548143222727
0.914,45,72,-10.260225674479,-13.2964581250801
0.914,45,74,-10.6044759553438,-14.8856459069955
0.914,45,76,-10.9540481810282,-16.6496464387438
0.914,45,78,-11.3089005808147,-18.6080334437174
0.914,45,80,-11.6690547175817,-20.732529527075
0.914,45,82,-12.0346028327587,-22.8215880181424
0.914,45,84,-12.4057154140811,-24.2790400429113
0.914,45,86,-12.7826489141359,-24.3673146992925
0.914,45,88,-13.165753547296,-23.26688177924
0.914,45,90,-13.5554810987592,-21.7715821625536
0.914,45,92,-13.9523926921265,-20.3370452735044
0.914,45,94,-14.3571664800409,-19.089284823165
0.914,45,96,-14.7706052426724,-18.0342684920905
0.914,45,98,-15.1936438952756,-17.1484881907767
0.914,45,100,-15.6273569086712,-16.4058515323422
0.914,45,102,-16.0729656194302,-15.7842024651393
0.914,45,104,-16.5318453250835,-15.2661324094288
