"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,90.0000000000002,138,-30.4859185922593,-16.331502287616
0.914,90.0000000000002,140,-30.0410637388932,-16.7281513525718
0.914,90.0000000000002,142,-29.1315432527115,-16.9517414709001
0.914,90.0000000000002,144,-27.9808441670302,-16.9405732711072
0.914,90.0000000000002,146,-26.7674550579449,-16.6709192785054
0.914,90.0000000000002,148,-25.5901205366262,-16.1699103717262
0.914,90.0000000000002,150,-24.49184877941,-15.5013170365726
0.914,90.0000000000002,152,-23.4865177406746,-14.7378335575711
0.914,90.0000000000002,154,-22.5748287488232,-13.9406950755975
0.914,90.0000000000002,156,-21.7522181607182,-13.1530075194956
0.914,90.0000000000002,158,-21.0124668277417,-12.4016876480461
0.914,90.0000000000002,160,-20.3492522629452,-11.7020223504546
0.914,90.0000000000002,162,-19.7567605735816,-11.0618422345064
0.914,90.0000000000002,164,-19.2298807769681,-10.4845211044492
0.914,90.0000000000002,166,-18.7642209183548,-9.97091195128447
0.914,90.0000000000002,168,-18.3560545734914,-9.52052947579416
0.914,90.0000000000002,170,-18.0022462505497,-9.13225029744759
0.914,90.0000000000002,172,-17.70017662436,-8.80471935632426
0.914,90.0000000000002,174,-17.4476759172739,-8.53658213679247
0.914,90.0000000000002,176,-17.2429680664053,-8.32661556339954
0.914,90.0000000000002,178,-17.0846258848057,-8.1738011577996
0.914,90.0000000000002,180,-16.9715365076941,-8.07736643532732
