"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,0,-8,-24.9333429775082,6.85169246661091
0.914,0,-6,-24.9216972913459,6.95392876698112
0.914,0,-4,-24.9239935348559,7.03175732841415
0.914,0,-2,-24.9396992145466,7.08519946522907
0.914,0,0,-24.9682945616325,7.11427739458219
0.914,0,2,-25.0092845326827,7.11901396832724
0.914,0,4,-25.0622105764441,7.09943219270899
0.914,0,6,-25.126661878685,7.05555453280683
0.914,0,8,-25.2022857725879,6.98740199422696
0.914,0,10,-25.2887969949086,6.89499296902152
0.914,0,12,-25.3859854806882,6.77834182639022
0.914,0,14,-25.4937224230672,6.63745722154805
0.914,0,16,-25.6119643791272,6.47234008830801
0.914,0,18,-25.7407552749812,6.28298127242709
0.914,0,20,-25.8802262489372,6.06935875349636
0.914,0,22,-26.0305933643525,5.8314343929095
0.914,0,24,-26.1921533168594,5.56915013389696
0.914,0,26,-26.3652773470469,5.28242356633723
0.914,0,28,-26.5504036433066,4.97114275352685
0.914,0,30,-26.7480285757223,4.63516019970191
0.914,0,32,-26.9586971378039,4.27428581519152
0.914,0,34,-27.1829929877556,3.88827870996268
0.914,0,36,-27.4215284759147,3.47683761533478
0.914,0,38,-27.6749350226192,3.03958969729418
0.914,0,40,-27.9438541747239,2.576077482954
0.914,0,42,-28.2289296234715,2.08574357482143
0.914,0,44,-28.5308004156703,1.56791277759759
0.914,0,46,-28.8500955380075,1.02177121389345
0.914,0,48,-29.1874300040985,0.446341968292482
0.914,0,50,-29.5434025280321,-0.159543206887688
0.914,0,52,-29.9185948284234,-0.797276528263426
0.914,0,54,-30.3135725742974,-1.46851136140766
0.914,0,56,-30.7288879588633,-2.17520366405319
0.914,0,58,-31.1650838693216,-2.91965639176453
0.914,0,60,-31.6226996099554,-3.70456350412419
0.914,0,62,-32.1022781315235,-4.53304613938943
0.914,0,64,-32.6043747222304,-5.40866556064631
0.914,0,66,-33.1295671245509,-6.33538191577273
0.914,0,68,-33.6784670588983,-7.31739741565581
0.914,0,70,-34.2517331615911,-8.35876301740696
0.914,0,72,-34.8500853842872,-9.4625123228303
0.914,0,74,-35.4743209606155,-10.6288693428907
0.914,0,76,-36.1253321315346,-11.8517008485232
0.914,0,78,-36.8041259463121,-13.1118743217785
0.914,0,80,-37.5118466386788,-14.3660740584605
0.914,0,82,-38.2498013429869,-15.5321968367049
0.914,0,84,-39.0194902991375,-16.4826829639353
0.914,0,86,-39.8226432489849,-17.0734055621845
0.914,0,88,-40.6612645242002,-17.2213606146262
0.914,0,90,-41.5376904712883,-16.9675327271178
0.914,0,92,-42.4546645044935,-16.4449454522579
0.914,0,94,-43.4154374378097,-15.7946602106891
0.914,0,96,-44.4239041288314,-15.1171993744234
0.914,0,98,-45.484792286384,-14.4697809654086
0.914,0,100,-46.6039260645444,-13.8802019124815
0.914,0,102,-47.7885962327471,-13.3597643512118
0.914,0,104,-49.0480799373109,-12.9114981744601
0.914,0,106,-50.3943626355492,-12.5347013050398
0.914,0,108,-51.8431064957915,-12.2272896690147
0.914,0,110,-53.414822602865,-11.9869705777525
0.914,0,112,-55.1358158848964,-11.8118127488469
0.914,0,114,-57.0369518234661,-11.7005162128193
0.914,0,116,-59.1425047562515,-11.6525387172837
0.914,0,118,-61.420307123265,-11.6681589312005
0.914,0,120,-63.6091903189042,-11.7485172829003
0.914,0,122,-64.9174883024935,-11.8956540806119
0.914,0,124,-64.5341609293184,-12.1125513254708
0.914,0,126,-62.9639334777666,-12.4031724749775
0.914,0,128,-61.1239967382394,-12.7724764051714
0.914,0,130,-59.3915998289716,-13.2263468551013
0.914,0,132,-57.8304481738743,-13.7713044180948
0.914,0,134,-56.4181177223675,-14.4137069126614
0.914,0,136,-55.1196416059243,-15.1577951492732
0.914,0,138,-53.9054287576348,-16.0012158234019
0.914,0,140,-52.7541941894981,-16.9253324138173
0.914,0,142,-51.6521976977936,-17.8762171853984
0.914,0,144,-50.5917095824542,-18.7354258580292
0.914,0,146,-49.5694519071291,-19.3030438660588
0.914,0,148,-48.585219886975,-19.3613810253708
0.914,0,150,-47.6407492206993,-18.8381845705196
0.914,0,152,-46.7388463393948,-17.8778195081764
0.914,0,154,-45.8827681072521,-16.7071722187282
0.914,0,156,-45.07581627991,-15.4979485282912
0.914,0,158,-44.3211013447689,-14.341647191571
0.914,0,160,-43.6214295183283,-13.276485929689
0.914,0,162,-42.9792724378815,-12.3135743404968
0.914,0,164,-42.3967877741899,-11.4520265631746
0.914,0,166,-41.8758678401062,-10.6863172292851
0.914,0,168,-41.4182007530884,-10.0095926655939
0.914,0,170,-41.0253342751546,-9.4150726659182
0.914,0,172,-40.6987361004897,-8.89658724888603
0.914,0,174,-40.4398462844167,-8.44873254353719
0.914,0,176,-40.2501178634363,-8.06686611885712
0.914,0,178,-40.1310404618824,-7.7470409777342
0.914,0,180,-40.0841384375413,-7.4859220932377
0.914,90.0000000000002,-180,-7.4859220932377,-40.0841384375409
0.914,90.0000000000002,-178,-7.51260279279652,-42.534570383999
0.914,90.0000000000002,-176,-7.58169185481596,-32.8382183029882
0.914,90.0000000000002,-174,-7.69290386063008,-28.2916097539037
0.914,90.0000000000002,-172,-7.84576310182262,-25.34725376155
0.914,90.0000000000002,-170,-8.03953405809782,-23.1887343937639
0.914,90.0000000000002,-168,-8.27311751520411,-21.5017423094478
0.914,90.0000000000002,-166,-8.54490330598407,-20.1320747211229
0.914,90.0000000000002,-164,-8.85256858118135,-18.9925190720792
0.914,90.0000000000002,-162,-9.19280995177102,-18.0288481018695
0.914,90.0000000000002,-160,-9.56100107413123,-17.2049580120702
0.914,90.0000000000002,-158,-9.95077842548056,-16.4955233911448
0.914,90.0000000000002,-156,-10.3535836218612,-15.8820249280153
0.914,90.0000000000002,-154,-10.7582384730873,-15.3504473807725
0.914,90.0000000000002,-152,-11.1507030028518,-14.8898701641998
0.914,90.0000000000002,-150,-11.5142540202831,-14.4915648395946
0.914,90.0000000000002,-148,-11.8303728152658,-14.1483950865623
0.914,90.0000000000002,-146,-12.0805497718585,-13.8544047551269
0.914,90.0000000000002,-144,-12.2489066709222,-13.604526989842
0.914,90.0000000000002,-142,-12.3250419898071,-13.3943736349119
0.914,90.0000000000002,-140,-12.3061079902471,-13.220079263674
0.914,90.0000000000002,-138,-12.1972316319554,-13.0781832458109
0.914,90.0000000000002,-136,-12.0100844622877,-12.9655388878837
0.914,90.0000000000002,-134,-11.7602412677415,-12.879242278541
0.914,90.0000000000002,-132,-11.4643525128449,-12.8165758392718
0.914,90.0000000000002,-130,-11.1379372877457,-12.7749631893535
0.914,90.0000000000002,-128,-10.7941020973189,-12.7519330561594
0.914,90.0000000000002,-126,-10.4430825067059,-12.7450907664538
0.914,90.0000000000002,-124,-10.0923319152617,-12.7520964420544
0.914,90.0000000000002,-122,-9.74688850435301,-12.7706494541196
0.914,90.0000000000002,-120,-9.40983181388584,-12.7984789968637
0.914,90.0000000000002,-118,-9.08272368219363,-12.8333408377115
0.914,90.0000000000002,-116,-8.7659878696493,-12.8730203884558
0.914,90.0000000000002,-114,-8.45921726501439,-12.9153422156448
0.914,90.0000000000002,-112,-8.16141427267061,-12.9581859618119
0.914,90.0000000000002,-110,-7.87117615063429,-12.9995083811866
0.914,90.0000000000002,-108,-7.58683788048098,-13.0373708153389
0.914,90.0000000000002,-106,-7.30658363144744,-13.0699709753193
0.914,90.0000000000002,-104,-7.02853560015066,-13.0956774086468
0.914,90.0000000000002,-102,-6.75082668737111,-13.1130645836553
0.914,90.0000000000002,-100,-6.47166140427263,-13.1209462040738
0.914,90.0000000000002,-98,-6.1893676768996,-13.1184042542445
0.914,90.0000000000002,-96,-5.90244086042313,-13.1048114289267
0.914,90.0000000000002,-94,-5.60958028313817,-13.0798450394728
0.914,90.0000000000002,-92,-5.30971800905162,-13.0434911767248
0.914,90.0000000000002,-90,-5.00203922311503,-12.9960387659576
